number,value,datetime_start,datetime_complete,duration,params_A,params_C,params_f,params_lr,params_min_gradient_magnitude,params_optimal_weight,params_phase_shift_loss_weight,params_phi,params_shift_boundary,params_threshold,params_transition_slope,state
0,0.2018571678324197,2023-08-24 10:40:50.154829,2023-08-24 10:53:12.863752,0 days 00:12:22.708923,0.42111992347706373,1.202559952023271,0.6617253468532249,0.000683491636959318,0.16162388055769403,0.7931318661085647,0.3588838327481652,3.056482551302948,0.29032510305025044,0.23,0.17272550153465804,COMPLETE
1,0.1865320311833517,2023-08-24 10:53:12.888065,2023-08-24 11:02:53.688482,0 days 00:09:40.800417,0.865752791346113,1.105861900022516,0.8976683543201134,0.0003812550527403482,0.17392974595066507,0.7353090560029308,0.3566485296081388,2.6274649617561625,0.28223073825928285,0.25,0.16974353391830702,COMPLETE
2,0.8908351821468231,2023-08-24 11:02:53.709768,2023-08-24 11:07:27.438422,0 days 00:04:33.728654,0.24447744005642147,1.4057181395856277,0.9181228381526967,0.00039123644263656476,0.17395197258138415,0.7390644965819348,0.3043814287987641,1.772774784183108,0.26861450322488434,0.23,0.17744932737760072,PRUNED
3,0.18119737572849592,2023-08-24 11:07:27.452407,2023-08-24 11:19:19.389836,0 days 00:11:51.937429,0.41204993497621556,1.361955457498762,0.8517695757841647,0.0004587576427591682,0.17149691141005063,0.7941723716933321,0.33510818966799205,3.079113455367272,0.27451920114953404,0.24000000000000002,0.17074774123409944,COMPLETE
4,0.8891026178995768,2023-08-24 11:19:19.409521,2023-08-24 11:22:34.419532,0 days 00:03:15.010011,0.3017286954743848,1.9453071181823853,0.9363268386719055,0.00027716035163098457,0.16590841834124678,0.7444381954793498,0.3251590990870158,2.471043157393316,0.27563579002006894,0.25,0.1639621858582934,PRUNED
5,0.17661046937701919,2023-08-24 11:22:34.433425,2023-08-24 11:36:44.898307,0 days 00:14:10.464882,0.29828958682807666,1.1554549480115095,0.8396575678902842,0.00046328635958544577,0.17275033263443665,0.7800662624050428,0.3629011986305205,2.3607658593601135,0.27911482423863176,0.25,0.1685205993197317,COMPLETE
6,0.8895641943664415,2023-08-24 11:36:44.917249,2023-08-24 11:41:19.762799,0 days 00:04:34.845550,0.6676424803726587,1.2478006341032906,0.8166503138851098,0.0004449758563851106,0.17975093782535262,0.7369746940968455,0.39678652345613163,2.979948924338862,0.2808198753041829,0.24000000000000002,0.16611837232878102,PRUNED
7,0.17872980516830683,2023-08-24 11:41:19.775607,2023-08-24 11:55:03.523200,0 days 00:13:43.747593,0.32785582625032395,1.2910145528111494,0.8201342146056053,0.00046274384000998485,0.16424418026345927,0.72340013842789,0.37612348463575834,2.3394865770839806,0.2884483201622549,0.24000000000000002,0.161273461272038,COMPLETE
8,0.18574136474479686,2023-08-24 11:55:03.542498,2023-08-24 12:07:38.606607,0 days 00:12:35.064109,0.7048770077283465,1.5362298901296614,0.6884693777308176,0.00045567538042701536,0.1708185097464639,0.7425889116718437,0.38594953591354275,1.5844273663441109,0.25931948500329804,0.25,0.17878255376372207,COMPLETE
9,0.1735634825380622,2023-08-24 12:07:38.625850,2023-08-24 12:18:23.964359,0 days 00:10:45.338509,0.5218098429404865,1.5897134427060262,0.8856978652763852,0.0002683455741862391,0.1773310499705987,0.7301733636814677,0.3786888498984818,1.6692574682782875,0.25038072683893586,0.25,0.16208377096651666,COMPLETE
10,0.16548084292002196,2023-08-24 12:18:23.984336,2023-08-24 12:29:04.805822,0 days 00:10:40.821486,0.164920249335051,1.619335296919413,0.7524630031615123,0.00011519397944926993,0.17953942198433878,0.7021628257753997,0.37733170240848035,1.9400819582509048,0.2513920373607547,0.25,0.16044970776144335,COMPLETE
11,0.16810864868837117,2023-08-24 12:29:04.826534,2023-08-24 12:41:02.829296,0 days 00:11:58.002762,0.13759374869991675,1.6301290738021572,0.7503859976707332,0.0001206320510942249,0.1793734837736333,0.7045293985196841,0.3769633451465979,1.887468552959335,0.25079900977610825,0.25,0.16034293765300858,COMPLETE
12,0.17262918938879301,2023-08-24 12:41:02.851666,2023-08-24 12:52:05.664524,0 days 00:11:02.812858,0.10854384611057877,1.7024474431459846,0.7512543016565425,0.0001283969835517574,0.17938898169438078,0.7022009507397731,0.3939497423886976,1.9717412820316016,0.250488791576003,0.25,0.16008062332481496,COMPLETE
13,0.1615658221600934,2023-08-24 12:52:05.685881,2023-08-24 13:03:28.177080,0 days 00:11:22.491199,0.11784891358466594,1.7091839866564924,0.7503858719397019,0.0001070603919550397,0.17679432598580772,0.7013170493131775,0.3720067084350766,1.9842005130468454,0.26083465987064497,0.24000000000000002,0.16442997184533567,COMPLETE
14,0.9001799435057538,2023-08-24 13:03:28.196913,2023-08-24 13:12:55.669661,0 days 00:09:27.472748,0.19683017233322364,1.7461305263516895,0.7671183812091603,0.0008537461953051812,0.17624849422937375,0.7146117439418596,0.3709788400644932,2.042708562871421,0.2627138100391486,0.24000000000000002,0.1636960314461356,PRUNED
15,0.16743288756920105,2023-08-24 13:12:55.683392,2023-08-24 13:21:58.866348,0 days 00:09:03.182956,0.11712841692726333,1.7810358999353697,0.7217576200194039,0.0001185554073681082,0.17595832498027683,0.7131757261293389,0.34722117455465923,2.0907424856886023,0.26133654862828554,0.23,0.16537536661985933,COMPLETE
16,0.17085687005743244,2023-08-24 13:21:58.901784,2023-08-24 13:29:44.100038,0 days 00:07:45.198254,0.23809350456196438,1.4576654497762571,0.7850029038396067,0.00023151414440371787,0.1691187320875299,0.7029552795913085,0.399924879322597,1.4998640641096674,0.2970663143556286,0.24000000000000002,0.16305620780198754,COMPLETE
17,0.1701859007624119,2023-08-24 13:29:44.120378,2023-08-24 13:45:05.268347,0 days 00:15:21.147969,0.1859127611871756,1.514599618316662,0.7221882578683679,0.00023667265860367892,0.1772297064254365,0.7543512449534555,0.3680511325954251,1.4401664221316048,0.25671214777972584,0.23,0.1665963544527307,COMPLETE
