number,value,datetime_start,datetime_complete,duration,params_A,params_C,params_f,params_lr,params_min_gradient_magnitude,params_optimal_weight,params_phase_shift_loss_weight,params_phi,params_shift_boundary,params_threshold,params_transition_slope,state
0,0.5574307545519004,2023-08-31 22:59:52.060674,2023-08-31 23:08:01.342499,0 days 00:08:09.281825,0.5603749065941993,1.6946953632332167,0.6792595530574574,0.008408522103895179,0.19807321867906108,0.8540121518911428,0.16655822570268586,2.4178036888625742,0.20035490322060967,0.14,0.14109729472142377,COMPLETE
1,0.9921883334627848,2023-08-31 23:08:01.383791,2023-08-31 23:16:12.660851,0 days 00:08:11.277060,0.18707933197135723,1.2863625040476392,0.7505905987429797,0.0014133895808368935,0.14594393981825712,0.8257173888235575,0.2663283395213968,3.0903036937507413,0.20957266311477118,0.08,0.13931533754244035,COMPLETE
2,0.5505730146942706,2023-08-31 23:16:12.691262,2023-08-31 23:24:25.479014,0 days 00:08:12.787752,0.3918215459031785,1.3083677740604478,0.7102384711322237,0.007813806435937983,0.1252936082253149,0.6986840038002353,0.16660312765743635,1.3672232932723307,0.29839303187916066,0.12,0.08002900977637087,COMPLETE
3,0.4995628068279394,2023-08-31 23:24:25.505345,2023-08-31 23:31:20.960804,0 days 00:06:55.455459,0.60174481749105,1.304029994138125,0.8430587383867629,0.013009658872325004,0.1907741578930367,0.9385165481268881,0.33819630130761535,1.3044720416892173,0.2960614515925232,0.08,0.1044987287598684,COMPLETE
4,1.4459348625325141,2023-08-31 23:31:20.992654,2023-08-31 23:33:00.494540,0 days 00:01:39.501886,0.5624089473068578,1.8563293853673892,0.6970077746590355,0.004886165592546657,0.1419608940205568,0.9109184706532142,0.13129446909892584,1.5996334385963114,0.21955182825916125,0.11,0.13975721004734476,PRUNED
5,0.4915878775244349,2023-08-31 23:33:00.507821,2023-08-31 23:40:51.928327,0 days 00:07:51.420506,0.33897052172569375,1.800055292622674,0.8464923404758465,0.016419902200397046,0.14088414359768314,0.7877524960060489,0.46686107192193094,1.4996930255600598,0.23447228316168123,0.18,0.13364076991765234,COMPLETE
6,0.4548412557187693,2023-08-31 23:40:51.958504,2023-08-31 23:47:25.133028,0 days 00:06:33.174524,0.16590716734368768,1.2725160258565782,0.7415799059760154,0.01930319549324562,0.1736516022287924,0.9196404585787856,0.15650408206686528,1.7759510217309429,0.21880387033916546,0.14,0.1270505579351423,COMPLETE
7,0.4816745079995681,2023-08-31 23:47:25.146423,2023-08-31 23:54:29.424568,0 days 00:07:04.278145,0.2278295433989238,1.2551204765529116,0.8346118676593297,0.011963518064157127,0.14451439074213376,0.800338199704421,0.37883110513194973,3.0940234022120414,0.23915612977748635,0.16999999999999998,0.11073977458061193,COMPLETE
8,1.2697901379132102,2023-08-31 23:54:29.442672,2023-08-31 23:56:08.130283,0 days 00:01:38.687611,0.12311270842999628,1.6792832191565759,0.7081735164037984,0.012472081447304481,0.16946760225822838,0.8903682537758612,0.4532176819938467,1.2862733899603738,0.2143121277007886,0.11,0.11406571260687334,PRUNED
9,1.314016378517692,2023-08-31 23:56:08.141578,2023-08-31 23:57:47.101315,0 days 00:01:38.959737,0.6174753430857888,1.7041067650320976,0.6638722425879641,0.008669782224758851,0.11231185756721586,0.9200428534601037,0.1439917065744581,2.8001001155262717,0.2841461759685938,0.1,0.08753823901352827,PRUNED
10,0.4425905636812346,2023-08-31 23:57:47.114700,2023-09-01 00:04:50.260148,0 days 00:07:03.145448,0.13625615921650053,1.0175864231153184,0.7661735815925204,0.018575454073409096,0.1719536299787642,0.9452291701289622,0.2316697524718711,1.9027017375692103,0.25497943339618834,0.15000000000000002,0.15690680831403628,COMPLETE
11,0.4532780259881031,2023-09-01 00:04:50.292575,2023-09-01 00:11:43.417382,0 days 00:06:53.124807,0.10503413208954239,1.0626662714250625,0.7542714439128806,0.019887095188963626,0.1699940467723551,0.9469071119520011,0.23748177582110291,1.9260184587923388,0.2587015837397125,0.15000000000000002,0.1596252727210197,COMPLETE
