number,value,datetime_start,datetime_complete,duration,params_A,params_C,params_f,params_lr,params_min_gradient_magnitude,params_optimal_weight,params_phase_shift_loss_weight,params_phi,params_shift_boundary,params_threshold,params_transition_slope,state
0,-0.22762607066865514,2023-08-26 21:10:13.036166,2023-08-26 21:18:25.095709,0 days 00:08:12.059543,0.22514460981567055,1.3600635177420313,0.8427364667180383,0.0005006654822410666,0.1679807482457088,0.7640493922342091,0.3838526737043637,2.4969420800899367,0.2639019237678948,0.23,0.1642610421043842,COMPLETE
1,0.6031971328482506,2023-08-26 21:18:25.118142,2023-08-26 21:24:37.198788,0 days 00:06:12.080646,0.8719370879949431,1.35627169600922,0.8629229518620135,0.00020126340571160854,0.17237578679686258,0.708280184461359,0.3719334722891863,2.858772414424805,0.27111928487667514,0.23,0.1648990803004851,PRUNED
2,-0.24629588007038794,2023-08-26 21:24:37.215014,2023-08-26 21:33:51.930629,0 days 00:09:14.715615,0.609604202378296,1.8610221387840706,0.9073644225102373,0.00014828722035097565,0.17358849721581962,0.7126271466742115,0.32824073488509165,1.9613011160739307,0.2922153990909742,0.24000000000000002,0.16044592311613443,COMPLETE
3,0.5906757113944953,2023-08-26 21:33:51.951622,2023-08-26 21:36:33.643430,0 days 00:02:41.691808,0.7331671910450462,1.2625985615923814,0.7446304457249304,0.0008731542671218998,0.16498231430882426,0.7808044666898468,0.3288657901340069,1.906438696421411,0.2971324905399556,0.25,0.1711580378163863,PRUNED
4,0.6175577526164663,2023-08-26 21:36:33.657563,2023-08-26 21:40:02.016936,0 days 00:03:28.359373,0.8518931958910142,1.6367799357322812,0.9410986073902743,0.00038303052197764803,0.16027337209059228,0.7233992596888322,0.33615800758173386,2.3053535957119644,0.26294059132455627,0.25,0.1757791110465698,PRUNED
5,-0.24534566650534317,2023-08-26 21:40:02.032792,2023-08-26 21:50:00.902342,0 days 00:09:58.869550,0.48035543233096634,1.549288663957889,0.8879903108818842,0.00025110123351643855,0.17532509097377744,0.7608828148598258,0.33844198634349393,2.1481186812617095,0.29314094835402016,0.25,0.17720816503806977,COMPLETE
6,0.6061298960143593,2023-08-26 21:50:00.941067,2023-08-26 21:53:09.756870,0 days 00:03:08.815803,0.5698918865428858,1.252195759952564,0.658420419195036,0.0005031856852230166,0.17998870097995723,0.7115056736593771,0.38745543413022726,2.629283502783506,0.28308988699930926,0.25,0.1621966920831207,PRUNED
7,0.595628368152175,2023-08-26 21:53:09.773492,2023-08-26 21:57:15.195140,0 days 00:04:05.421648,0.6898462074945935,1.4882677005197784,0.9372085486604327,0.0003518810781198801,0.17470633899377758,0.7355556817682077,0.3285476890878093,2.372010802645866,0.28181738955844426,0.25,0.17916153629941364,PRUNED
8,0.6043440470839762,2023-08-26 21:57:15.221263,2023-08-26 22:00:39.738317,0 days 00:03:24.517054,0.26594386446035057,1.3805241552114014,0.8188359929647693,0.00031689225146019223,0.1714306120542741,0.7191036223843703,0.3430059448562766,3.051853795225128,0.28769483521179817,0.24000000000000002,0.16606968229350505,PRUNED
9,0.6067792403565091,2023-08-26 22:00:39.755224,2023-08-26 22:04:57.902257,0 days 00:04:18.147033,0.35812927515621173,1.2017929305334896,0.9415579594352801,0.00032651351460186785,0.16507665099846536,0.7280689586879563,0.3418603493056902,1.9107757235998446,0.2881527372332491,0.25,0.17695350077747884,PRUNED
